Category	Asset	Filename	Directory	Size (px)	Transparent	Suggested Prompt
App	App icon	icon.png	mobile/assets	1024x1024	No	App launcher icon for a fantasy kingdom-builder game called Archmage: a glowing arcane sigil over a stylized castle, purple and gold, bold, legible at small sizes, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
App	Adaptive icon foreground	android-icon-foreground.png	mobile/assets	1024x1024	Yes	Android adaptive icon foreground: arcane sigil + castle emblem centered within the inner 66% safe zone, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
App	Adaptive icon background	android-icon-background.png	mobile/assets	1024x1024	No	Android adaptive icon background: subtle deep-purple to near-black radial gradient with faint arcane runes, no subject
App	Monochrome icon	android-icon-monochrome.png	mobile/assets	1024x1024	Yes	Single-color (white on transparent) flat silhouette of the arcane-sigil-and-castle emblem for Android themed icons
App	Splash logo	splash-icon.png	mobile/assets	1024x1024	Yes	Centered game logo mark for splash screen: arcane sigil crowning a castle, glowing purple/gold, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
App	Web favicon	favicon.png	mobile/assets	196x196	Yes	Simplified favicon of the arcane-sigil emblem, high contrast, legible at 16px, transparent background
UI	Game logo / wordmark	logo.png	mobile/assets/ui	1024x1024	Yes	Title logo for 'ARCHMAGE': ornate fantasy lettering with an arcane sigil and lightning, purple and gold, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
UI	Town map background	town_panorama.png	mobile/assets/ui	1440x1080	No	Top-down / isometric empty fantasy town plot: grassy ground with dirt paths, a river edge, sky at top, no buildings (structures overlaid separately), soft daylight, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
UI	Kingdom banner (Home)	kingdom_banner.png	mobile/assets/ui	1200x400	No	Wide hero banner of a fantasy kingdom skyline at dawn — castle, towers, mage spire — atmospheric, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
UI	Default avatar	avatar_default.png	mobile/assets/ui	512x512	Yes	Portrait bust of a hooded arcane sorcerer as a default player avatar, mysterious, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
UI	Victory banner	banner_victory.png	mobile/assets/ui	1200x400	No	Wide triumphant banner: golden sunrise over a victorious army with raised banners, glory and light, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
UI	Defeat banner	banner_defeat.png	mobile/assets/ui	1200x400	No	Wide somber banner: smoldering battlefield at dusk, broken banners, ash and embers, melancholic, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
UI	Expedition map	expedition_map.png	mobile/assets/ui	1280x400	No	Wide weathered fantasy treasure map / parchment showing wilds, forests and mountains with a dotted expedition route, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Town Center tier 1	town_center_t1.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a small wooden village hall with a few huts. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Town Center tier 2	town_center_t2.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a growing stone town hall with a market square. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Town Center tier 3	town_center_t3.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a grand fortified castle keep with banners. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
Structure	Barracks tier 1	barracks_t1.png	mobile/assets/structures	512x512	Yes	Isometric building icon for a town-builder: a simple military tent camp with a training dummy. Consistent 3/4 top-down angle, sits on a small ground base, transparent background, dark-fantasy mobile game art, painterly, dramatic rim lighting, centered subject, clean readable silhouette
